Math Question,Chat GPT Answer(str),Chat GPT Answer(int),Correct Answer,Was it correct?,Was it prompted?
What's 5+4+8+2+6+6+5+1+5+7+7+8+6+6+5?,The sum of 5+4+8+2+6+6+5+1+5+7+7+8+6+6+5 is 81.,81,81,True,True
What's 7+10+10+5+10+4+4+5+9+3+7+4?,78,78,78,True,False
What's 10+2+6+3+4+3+1+10+4+6+7+2+3+8+6?,The sum of 10+2+6+3+4+3+1+10+4+6+7+2+3+8+6 is 75.,75,75,True,True
What's 4+9+10+2+6+1+7+7+1+2+3+2+4?,58,58,58,True,False
What's 2+7+9+1+10+2+10+5+10+4+4?,The sum of those numbers is 64.,64,64,True,True
What's 10+1+8+10+4+7+1+1+3+6+5?,56,56,56,True,False
What's 7+3+8+8+7+6+5+4+6+4+5?,The sum of 7+3+8+8+7+6+5+4+6+4+5 is 63.,63,63,True,True
What's 7+3+6+6+3+5+2+6+4+6+6+10+2?,66,66,66,True,False
What's 9+4+7+2+7+5+5+8+8+6+1?,The sum of 9+4+7+2+7+5+5+8+8+6+1 is 62.,62,62,True,True
What's 8+10+8+9+8+4+7+4+2+7+9+4+4+3?,88,88,87,False,False
What's 3+5+8+4+9+8+7+6+8+5+5+5+7+7+6?,The sum of 3+5+8+4+9+8+7+6+8+5+5+5+7+7+6 is 93.,93,93,True,True
What's 2+10+4+3+5+6+10+9+4+8+5+8?,74,74,74,True,False
What's 2+5+3+1+5+6+1+1+2+8+9?,The sum of 2+5+3+1+5+6+1+1+2+8+9 is 43.,43,43,True,True
What's 2+2+8+5+10+2+9+2+2+9+8+6+5+9?,79,79,79,True,False
What's 2+8+4+8+3+2+7+5+9+10+7+7+6?,The sum of those numbers is 78.,78,78,True,True
What's 3+6+8+7+1+7+5+6+4+2+10+7+8+2?,76,76,76,True,False
What's 10+8+2+7+9+2+2+1+4+9+10?,The sum of 10+8+2+7+9+2+2+1+4+9+10 is 64.,64,64,True,True
What's 9+9+1+9+10+3+1+5+1+6+10+6+6+4+8?,89,89,88,False,False
What's 4+1+7+6+3+7+3+3+5+4+10+2+4+6?,The sum of those numbers is 65.,65,65,True,True
What's 9+4+5+5+2+8+6+8+10+10+6+5?,78,78,78,True,False
What's 3+5+3+1+8+3+8+6+7+10+8?,The sum of 3+5+3+1+8+3+8+6+7+10+8 is 62.,62,62,True,True
What's 9+4+3+6+9+5+5+3+6+4+9+4+9+6?,82,82,82,True,False
What's 5+1+9+6+3+10+3+6+3+5+6+7+9?,The sum of 5+1+9+6+3+10+3+6+3+5+6+7+9 is 73.,73,73,True,True
What's 5+4+8+9+8+10+6+6+4+5+6+10+1+3?,85,85,85,True,False
What's 2+2+9+6+6+5+8+8+4+3+10?,The sum of those numbers is 63.,63,63,True,True
What's 1+4+3+4+8+10+6+10+3+4?,43,43,53,False,False
What's 10+6+3+3+3+9+9+5+1+10+6+3?,The sum of those numbers is 68.,68,68,True,True
What's 8+4+10+6+5+2+7+8+5+3+7+6+7?,78,78,78,True,False
What's 2+3+9+10+5+3+5+5+7+5+4+7+1?,The sum of those numbers is 66.,66,66,True,True
What's 4+9+2+4+10+9+7+7+1+8+5+4?,70,70,70,True,False
What's 4+9+4+4+1+5+10+10+2+8+6+5+3+4?,The sum of those numbers is 75.,75,75,True,True
What's 1+4+2+6+10+3+9+5+1+7?,The sum of 1+4+2+6+10+3+9+5+1+7 is 48.,48,48,True,False
What's 6+3+4+6+9+2+3+9+2+4+7+10+6?,The sum of those numbers is 71.,71,71,True,True
What's 3+10+4+2+7+7+10+2+7+3+5+7+7+9?,83,83,83,True,False
What's 2+1+10+6+10+3+3+9+10+7+1+5?,The sum of those numbers is 67.,67,67,True,True
What's 8+10+2+6+2+10+8+4+2+7+10?,69,69,69,True,False
What's 9+2+8+10+3+1+9+9+9+7+7+6+7+4+5?,The sum of 9+2+8+10+3+1+9+9+9+7+7+6+7+4+5 is 89.,89,96,False,True
What's 10+1+4+3+5+4+2+4+3+10+5+1+9?,60,60,61,False,False
What's 9+4+7+7+5+9+1+6+6+6+3+5?,The sum of those numbers is 68.,68,68,True,True
What's 3+3+4+7+5+4+5+2+2+3+1+10+2+7?,55,55,58,False,False
What's 9+8+2+3+2+3+10+6+1+6+1+4+8+8+6?,The sum of all those numbers is 77.,77,77,True,True
What's 3+2+2+8+3+6+9+2+4+9+4+5+6?,63,63,63,True,False
What's 2+4+10+4+1+6+8+1+2+10+1+3?,The sum of those numbers is 52.,52,52,True,True
What's 10+8+7+6+6+3+3+5+10+3+1?,The sum of 10+8+7+6+6+3+3+5+10+3+1 is 62.,62,62,True,False
What's 6+6+1+2+4+2+8+3+4+6?,The sum of 6+6+1+2+4+2+8+3+4+6 is 42.,42,42,True,True
What's 8+7+5+2+7+3+9+6+8+7+2?,66,66,64,False,False
What's 5+7+4+8+2+3+9+10+7+10+1+5+4+3+4?,The sum of those numbers is 82.,82,82,True,True
What's 3+7+9+9+3+3+9+8+1+1?,53,53,53,True,False
What's 9+1+4+3+8+9+6+5+3+1+9+7+5+6?,The sum of 9+1+4+3+8+9+6+5+3+1+9+7+5+6 is 76.,76,76,True,True
What's 7+10+3+3+2+3+4+4+5+1+8+3+2+2+4?,61,61,61,True,False
What's 5+9+2+3+3+9+5+8+5+8+1+8+2+7+1?,The sum of those numbers is 76.,76,76,True,True
What's 4+9+4+8+1+9+7+9+5+9?,65,65,65,True,False
What's 2+9+1+9+10+1+5+7+8+10?,The sum of 2+9+1+9+10+1+5+7+8+10 is 62.,62,62,True,True
What's 1+8+5+7+8+1+1+9+7+4?,51,51,51,True,False
What's 2+5+9+9+5+3+9+9+1+1+1?,The sum of 2+5+9+9+5+3+9+9+1+1+1 is 54.,54,54,True,True
What's 1+6+8+4+5+10+10+3+4+6+9+4+3?,73,73,73,True,False
What's 1+2+7+10+9+10+5+1+7+5+5+6+7+5+10?,The sum of those numbers is 90.,90,90,True,True
What's 3+7+8+9+2+1+1+10+6+1?,The sum of 3+7+8+9+2+1+1+10+6+1 is 48.,48,48,True,False
What's 9+2+7+4+7+4+1+1+8+10+7+5+10?,The sum of 9+2+7+4+7+4+1+1+8+10+7+5+10 is 75.,75,75,True,True
What's 7+2+3+3+7+6+1+3+3+8+3+5+2?,51,51,53,False,False
What's 10+1+5+8+5+9+5+4+2+3+1+5+4?,The sum of 10+1+5+8+5+9+5+4+2+3+1+5+4 is 62.,62,62,True,True
What's 6+10+5+10+2+6+4+3+3+1+6?,56,56,56,True,False
What's 8+10+2+8+10+1+6+2+10+2+6+3+6?,The sum of the numbers you provided is 74.,74,74,True,True
What's 5+4+9+2+5+9+1+4+8+1+3+10+3+7?,70,70,71,False,False
What's 7+8+4+10+7+5+7+3+4+3+4+2+10+6?,The sum of those numbers is 80.,80,80,True,True
What's 8+2+7+9+1+8+4+5+2+4+10?,60,60,60,True,False
What's 10+1+3+10+4+8+8+1+7+8+6+5+6+6+3?,The sum of those numbers is 86.,86,86,True,True
What's 7+8+6+7+5+8+7+1+8+1+7?,66,66,65,False,False
What's 5+9+9+9+8+8+1+10+8+5+2+8+6+7?,The sum of the numbers you provided is 95.,95,95,True,True
What's 8+8+9+8+7+5+6+7+7+8?,73,73,73,True,False
What's 4+3+2+7+10+10+9+6+2+7+2+4+9?,The sum of those numbers is 75.,75,75,True,True
What's 3+10+1+2+1+1+8+7+10+7+5+8+3?,66,66,66,True,False
What's 2+9+5+8+7+2+1+10+9+4+9+4+2+9?,The sum of those numbers is 81.,81,81,True,True
What's 10+2+9+5+4+2+8+5+4+9+4+8+9+10+7?,97,97,96,False,False
What's 1+2+7+3+10+5+6+5+3+6+10+7+1+10?,The sum of all those numbers is 76.,76,76,True,True
What's 8+8+2+4+7+1+5+1+1+7+9?,48,48,53,False,False
What's 4+4+10+9+1+5+5+7+7+9?,The sum of 4+4+10+9+1+5+5+7+7+9 is 61.,61,61,True,True
What's 3+3+8+9+2+1+9+3+3+7+5+6?,49,49,59,False,False
What's 3+6+7+9+2+6+10+2+8+4+10?,The sum of 3+6+7+9+2+6+10+2+8+4+10 is 67.,67,67,True,True
What's 10+10+8+5+9+1+6+7+6+6?,68,68,68,True,False
What's 5+1+10+1+3+6+8+8+2+6?,The sum of 5+1+10+1+3+6+8+8+2+6 is 50.,50,50,True,True
What's 3+9+1+4+9+8+10+5+1+4+3+9+3+10?,79,79,79,True,False
What's 8+3+4+3+1+6+8+6+3+3+7+9+1?,The sum of 8+3+4+3+1+6+8+6+3+3+7+9+1 is 62.,62,62,True,True
What's 2+1+1+1+6+2+4+2+9+9+2+4?,43,43,43,True,False
What's 8+3+10+2+1+4+7+5+5+2+4+8+4?,The sum of those numbers is 63.,63,63,True,True
What's 7+10+10+7+10+8+4+9+8+7+6+9+7+10?,114,114,112,False,False
What's 9+10+5+1+3+9+1+10+10+10+6+3+10?,The sum of those numbers is 87.,87,87,True,True
What's 8+8+2+10+4+1+9+8+5+1+4+10?,60,60,70,False,False
What's 8+6+4+2+8+6+6+9+2+5+4+2+5+2?,The sum of 8+6+4+2+8+6+6+9+2+5+4+2+5+2 is 69.,69,69,True,True
What's 6+3+6+7+8+10+9+10+4+4+7+7+1+2+7?,The sum of 6+3+6+7+8+10+9+10+4+4+7+7+1+2+7 is 91.,91,91,True,False
What's 6+9+5+2+6+10+5+2+10+2+1+4+2?,The sum of those numbers is 64.,64,64,True,True
What's 10+1+10+10+7+6+9+1+3+7+1?,66,66,65,False,False
What's 9+1+1+6+2+3+3+6+9+3+8+5+9+6+8?,The sum of those numbers is 79.,79,79,True,True
What's 9+8+7+2+3+5+8+8+4+9+4+7+10+10+2?,88,88,96,False,False
What's 8+7+1+3+3+2+1+2+3+4+1?,The sum of 8+7+1+3+3+2+1+2+3+4+1 is 35.,35,35,True,True
What's 4+8+1+2+6+2+2+1+8+7+6+3+8+10?,68,68,68,True,False
What's 8+6+2+3+2+8+6+4+1+5+3+4+9+5+2?,The sum of 8+6+2+3+2+8+6+4+1+5+3+4+9+5+2 is 68.,68,68,True,True
What's 6+1+1+9+8+4+10+9+3+2+6+4+8+7?,78,78,78,True,False
What's 9+4+7+7+7+3+1+3+4+5+1?,The sum of 9+4+7+7+7+3+1+3+4+5+1 is 51.,51,51,True,True
What's 7+3+1+2+9+8+4+2+8+8+9+4?,The sum of 7+3+1+2+9+8+4+2+8+8+9+4 is 65.,65,65,True,False
What's 7+4+1+2+5+7+6+8+6+7+5+4+3+3+4?,The sum of 7+4+1+2+5+7+6+8+6+7+5+4+3+3+4 is 72.,72,72,True,True
What's 10+5+9+9+3+7+4+4+8+8+1+8?,The sum of 10+5+9+9+3+7+4+4+8+8+1+8 is 76.,76,76,True,False
What's 4+10+9+8+1+1+4+2+1+1+8+4+9?,The sum of 4+10+9+8+1+1+4+2+1+1+8+4+9 is 62.,62,62,True,True
What's 4+7+4+1+7+7+8+1+4+1+4?,48,48,48,True,False
What's 10+1+7+9+3+10+8+4+4+4+7+3+6+9?,The sum of those numbers is 85.,85,85,True,True
What's 10+3+4+8+2+4+3+3+8+2+9+10?,58,58,66,False,False
What's 9+5+1+7+1+1+1+10+6+9?,The sum of 9+5+1+7+1+1+1+10+6+9 is 50.,50,50,True,True
What's 1+3+4+3+3+2+9+6+1+5+9?,46,46,46,True,False
What's 2+3+10+8+10+10+4+9+5+8+6+7+3+1?,The sum of those numbers is 86.,86,86,True,True
What's 7+8+6+9+6+1+5+8+3+1+8+4?,66,66,66,True,False
What's 5+6+8+2+1+6+4+9+4+6+2+1?,The sum of 5+6+8+2+1+6+4+9+4+6+2+1 is 54.,54,54,True,True
What's 9+10+9+8+1+2+5+6+8+5+2+8+2+9+2?,88,88,86,False,False
What's 8+2+4+9+1+10+4+2+6+8+5+1?,The sum of 8+2+4+9+1+10+4+2+6+8+5+1 is 60.,60,60,True,True
What's 8+8+2+1+8+1+3+10+9+8?,58,58,58,True,False
What's 10+4+7+9+4+2+6+9+2+7+7+6?,The sum of 10+4+7+9+4+2+6+9+2+7+7+6 is 73.,73,73,True,True
What's 9+10+8+2+7+2+3+1+4+5+9?,60,60,60,True,False
What's 1+1+9+10+5+5+10+3+3+4+7+1+3+2?,The sum of those numbers is 63.,63,64,False,True
What's 2+1+5+9+4+6+9+3+6+5+10+1?,61,61,61,True,False
What's 4+1+2+9+9+8+8+10+7+9+1+8?,The sum of those numbers is 76.,76,76,True,True
What's 3+3+5+6+9+9+4+10+5+4+7+5?,65,65,70,False,False
What's 7+9+9+6+1+1+5+5+4+1?,The sum of 7+9+9+6+1+1+5+5+4+1 is 48.,48,48,True,True
What's 3+4+3+8+3+9+7+3+2+1+4+5+3?,55,55,55,True,False
What's 6+5+8+5+9+6+10+9+6+9+5+3+8+4?,The sum of those numbers is 93.,93,93,True,True
What's 7+1+8+8+9+3+4+4+5+3+2+4?,58,58,58,True,False
What's 8+8+2+7+10+2+9+4+3+10?,The sum of 8+8+2+7+10+2+9+4+3+10 is 63.,63,63,True,True
What's 1+2+8+2+7+7+6+7+1+10+1?,The sum of 1+2+8+2+7+7+6+7+1+10+1 is 52.,52,52,True,False
What's 8+4+6+1+8+4+9+1+10+5+3+9+2+10?,The sum of 8+4+6+1+8+4+9+1+10+5+3+9+2+10 is 80.,80,80,True,True
What's 8+2+2+4+5+5+8+2+7+4?,47,47,47,True,False
What's 9+10+1+3+6+7+10+5+7+9+10+1+1+10+10?,The sum of all those numbers is 100.,100,99,False,True
What's 3+7+4+9+7+2+6+5+7+1?,43,43,51,False,False
What's 7+5+5+8+2+7+6+1+5+1+2?,The sum of 7+5+5+8+2+7+6+1+5+1+2 is 49.,49,49,True,True
What's 3+3+4+4+2+7+2+8+3+7?,43,43,43,True,False
What's 9+3+7+5+4+1+4+10+1+8+4+8?,The sum of 9+3+7+5+4+1+4+10+1+8+4+8 is 64.,64,64,True,True
What's 9+3+3+6+5+2+1+8+2+2+1?,42,42,42,True,False
What's 1+10+9+6+2+3+1+7+7+3+7?,The sum of 1+10+9+6+2+3+1+7+7+3+7 is 56.,56,56,True,True
What's 4+5+4+4+1+7+5+7+3+8+6+9+2+10+2?,69,69,77,False,False
What's 6+3+2+3+2+7+4+2+9+5?,The sum of 6+3+2+3+2+7+4+2+9+5 is 43.,43,43,True,True
What's 10+5+3+6+9+4+6+9+9+10+2+1+8+6?,88,88,88,True,False
What's 6+1+2+4+5+9+1+10+4+6+5+7+9+1+2?,The sum of those numbers is 72.,72,72,True,True
What's 3+2+5+7+9+1+4+8+6+1+2+10?,58,58,58,True,False
What's 5+9+5+6+7+3+4+3+4+3?,The sum of 5+9+5+6+7+3+4+3+4+3 is 49.,49,49,True,True
What's 2+6+7+7+6+8+6+6+3+2+6+10+6+7?,82,82,82,True,False
What's 4+7+2+3+10+3+3+10+8+7+4+2+2?,The sum of those numbers is 65.,65,65,True,True
What's 5+4+2+2+2+1+7+3+6+4+3+7+5+10+10?,71,71,71,True,False
What's 4+9+3+3+10+6+10+9+7+3+6+7+6+3?,The sum of those numbers is 86.,86,86,True,True
What's 2+9+3+2+5+7+8+9+4+8+5+2+6+1+4?,75,75,75,True,False
What's 2+7+7+2+7+4+8+4+7+5?,The sum of those numbers is 53.,53,53,True,True
What's 3+2+8+7+6+10+6+1+9+2+5+6+10?,75,75,75,True,False
What's 10+7+10+3+7+9+10+3+1+5+4+3+2+3?,The sum of those numbers is 77.,77,77,True,True
What's 2+1+6+3+6+6+8+6+3+1+2+5+6+7+1?,60,60,63,False,False
What's 2+2+5+10+2+9+1+7+3+1+3+10+9?,The sum of those numbers is 64.,64,64,True,True
What's 10+9+4+6+4+9+2+10+8+10?,62,62,72,False,False
What's 6+3+9+9+2+6+6+1+7+8+10?,The sum of 6+3+9+9+2+6+6+1+7+8+10 is 67.,67,67,True,True
What's 3+10+7+9+7+8+2+6+10+10?,72,72,72,True,False
What's 8+7+5+8+2+4+6+2+4+9+7+1+7?,The sum of those numbers is 70.,70,70,True,True
What's 3+1+9+3+2+3+4+10+6+9+8+2?,60,60,60,True,False
What's 8+10+9+1+7+9+4+3+8+2+2?,The sum of 8+10+9+1+7+9+4+3+8+2+2 is 63.,63,63,True,True
What's 2+3+8+6+9+10+3+5+10+8+8+8+2+3+9?,96,96,94,False,False
What's 3+8+8+8+6+4+10+9+3+3+3+6?,The sum of those numbers is 71.,71,71,True,True
What's 6+8+4+5+7+3+3+8+7+9+3+2?,65,65,65,True,False
What's 6+7+6+1+3+2+7+5+8+3+4+1+5?,The sum of those numbers is 58.,58,58,True,True
What's 6+2+6+3+2+8+7+4+9+3+4+9+5+7+5?,85,85,80,False,False
What's 1+5+4+2+5+8+10+4+5+2+4+9+8?,The sum of those numbers is 67.,67,67,True,True
What's 9+4+10+8+1+9+7+5+2+5+1?,61,61,61,True,False
What's 3+2+7+6+6+6+4+5+5+4?,The sum of 3+2+7+6+6+6+4+5+5+4 is 48.,48,48,True,True
What's 6+2+6+7+1+10+9+7+9+7+1+3+2+7?,78,78,77,False,False
What's 7+5+5+7+10+5+3+10+3+9+5+3?,The sum of 7+5+5+7+10+5+3+10+3+9+5+3 is 72.,72,72,True,True
What's 7+7+7+5+5+5+3+5+10+10+5?,67,67,69,False,False
What's 9+10+1+10+7+3+7+10+3+10+5+10+9+3?,The sum of those numbers is 97.,97,97,True,True
What's 2+3+10+6+10+5+9+2+6+7+6+10+2+6?,86,86,84,False,False
What's 2+9+7+10+1+5+5+8+1+7+3+3+7+7+6?,The sum of those numbers is 81.,81,81,True,True
What's 9+3+8+1+5+10+5+2+7+10+8+3+6+8+8?,85,85,93,False,False
What's 1+5+9+6+9+6+5+6+8+6+2?,The sum of 1+5+9+6+9+6+5+6+8+6+2 is 63.,63,63,True,True
What's 10+8+1+4+4+2+2+9+3+8+8+9+8+6+10?,84,84,92,False,False
What's 10+1+6+5+3+9+5+1+4+5+8+3+4?,The sum of 10+1+6+5+3+9+5+1+4+5+8+3+4 is 64.,64,64,True,True
What's 3+9+9+4+2+3+7+4+2+1+3?,47,47,47,True,False
What's 6+2+10+2+7+7+1+3+2+6?,The sum of 6+2+10+2+7+7+1+3+2+6 is 46.,46,46,True,True
What's 9+6+4+9+2+8+2+5+8+5+1+4+1+7?,71,71,71,True,False
What's 2+3+4+9+6+2+1+7+2+1+1+4+7+10+7?,The sum of all those numbers is 66.,66,66,True,True
What's 3+3+1+10+1+10+8+5+10+3+10+4+9+4+2?,73,73,83,False,False
What's 3+10+8+3+9+3+3+7+10+9+3+6+9+1?,The sum of those numbers is 84.,84,84,True,True
What's 9+5+3+2+7+8+9+4+7+1+3+10+4+7?,79,79,79,True,False
What's 1+3+3+10+1+7+9+2+10+3?,The sum of 1+3+3+10+1+7+9+2+10+3 is 49.,49,49,True,True
What's 10+10+10+9+8+8+7+1+4+3+2+4+6+5?,87,87,87,True,False
What's 8+10+7+9+5+5+6+3+4+2+2+6+5+8+1?,The sum of those numbers is 81.,81,81,True,True
What's 2+5+2+9+4+2+2+2+7+4+6?,45,45,45,True,False
What's 7+9+9+9+9+9+1+5+3+3+4+6+8+2?,The sum of those numbers is 85.,85,84,False,True
What's 4+2+8+2+6+4+1+10+4+1+2?,44,44,44,True,False
What's 6+8+1+6+4+7+5+3+9+6+6+5+2+10?,The sum of those numbers is 78.,78,78,True,True
What's 1+10+4+10+9+4+4+5+5+2+4?,58,58,58,True,False
What's 3+2+8+2+6+9+3+2+3+5+8+9+8+3+2?,The sum of the numbers you provided is 73.,73,73,True,True
What's 5+10+1+6+3+8+3+1+7+7+4?,55,55,55,True,False
What's 3+2+8+10+7+4+9+4+8+10+4+9+4?,The sum of those numbers is 82.,82,82,True,True
What's 7+1+2+2+10+5+3+3+1+7+6+3?,50,50,50,True,False
What's 10+1+2+1+6+9+1+3+10+4?,The sum of 10+1+2+1+6+9+1+3+10+4 is 47.,47,47,True,True
What's 7+8+5+2+10+4+4+6+1+5+2+4+8?,66,66,66,True,False
What's 2+8+3+5+5+9+5+10+4+8?,The sum of 2+8+3+5+5+9+5+10+4+8 is 59.,59,59,True,True
What's 3+9+2+3+6+1+3+8+10+5?,40,40,50,False,False
What's 9+5+2+10+7+4+7+8+4+8+2?,The sum of 9+5+2+10+7+4+7+8+4+8+2 is 66.,66,66,True,True
What's 9+10+1+8+1+4+4+7+5+9+7+8+3+3?,72,72,79,False,False
What's 8+7+3+8+8+4+5+9+2+10+8+5?,The sum of those numbers is 77.,77,77,True,True
What's 7+9+2+5+3+3+5+4+8+3?,49,49,49,True,False
What's 7+9+1+3+7+1+7+6+8+10+4+6+5+1+10?,The sum of those numbers is 85.,85,85,True,True
What's 8+9+6+2+6+3+6+9+7+3+8+5+8?,80,80,80,True,False
What's 5+3+9+9+10+1+10+8+9+4?,The sum of 5+3+9+9+10+1+10+8+9+4 is 68.,68,68,True,True
What's 10+5+5+9+7+10+4+2+10+3+6+4+2?,77,77,77,True,False
What's 6+8+7+8+8+1+5+2+6+7+2+10?,The sum of those numbers is 70.,70,70,True,True
What's 3+3+2+5+9+2+3+3+1+2+1+3+1+7+8?,50,50,53,False,False
What's 5+6+2+7+1+1+10+1+8+4?,The sum of 5+6+2+7+1+1+10+1+8+4 is 45.,45,45,True,True
What's 1+9+8+10+8+1+1+2+1+3+1+4+3+5?,48,48,57,False,False
What's 4+4+5+9+6+4+1+6+7+4+10?,The sum of 4+4+5+9+6+4+1+6+7+4+10 is 60.,60,60,True,True
What's 3+8+7+3+10+9+7+10+6+1?,54,54,64,False,False
What's 9+3+1+4+7+8+9+9+2+7+3+4+2+10+6?,The sum of those numbers is 84.,84,84,True,True
What's 4+4+3+9+6+1+4+4+3+9+3?,45,45,50,False,False
What's 7+3+10+1+1+2+4+1+9+1+4?,The sum of 7+3+10+1+1+2+4+1+9+1+4 is 43.,43,43,True,True
What's 8+3+7+2+3+9+3+2+4+9+2+6+6?,64,64,64,True,False
What's 6+7+7+8+8+2+5+2+2+1+2+2?,The sum of 6+7+7+8+8+2+5+2+2+1+2+2 is 52.,52,52,True,True
What's 3+6+10+2+6+9+2+1+8+6?,43,43,53,False,False
What's 5+4+4+1+1+6+5+2+10+1+5?,The sum of those numbers is 44.,44,44,True,True
What's 5+7+4+4+6+4+5+5+2+1+5+7+7+3?,60,60,65,False,False
What's 2+3+7+1+1+8+5+9+4+6+9+5+8?,The sum of those numbers is 68.,68,68,True,True
What's 4+6+9+5+1+6+5+7+2+6?,51,51,51,True,False
What's 6+1+5+1+2+2+8+5+3+10+8+1+8+7+5?,The sum of those numbers is 72.,72,72,True,True
What's 10+8+5+3+10+10+6+10+4+9+10+2?,87,87,87,True,False
What's 3+8+6+3+9+8+1+9+9+6+5?,The sum of 3+8+6+3+9+8+1+9+9+6+5 is 67.,67,67,True,True
What's 5+3+7+9+5+1+10+8+5+5?,58,58,58,True,False
What's 1+4+3+7+1+2+5+8+2+10+1?,The sum of 1+4+3+7+1+2+5+8+2+10+1 is 44.,44,44,True,True
What's 5+7+6+2+5+1+5+8+7+9+5+2?,62,62,62,True,False
What's 3+9+6+9+1+3+9+6+1+10?,The sum of 3+9+6+9+1+3+9+6+1+10 is 57.,57,57,True,True
What's 7+4+5+7+7+1+8+6+3+10+8+3+8+7?,84,84,84,True,False
What's 6+6+1+4+3+5+3+6+4+4+6+5?,The sum of 6+6+1+4+3+5+3+6+4+4+6+5 is 53.,53,53,True,True
What's 3+3+2+5+7+1+1+5+2+2?,31,31,31,True,False
What's 6+1+6+6+7+8+3+3+8+7+7+7+8?,The sum of those numbers is 79.,79,77,False,True
What's 3+1+1+10+10+10+8+9+4+2+1+7+1?,68,68,67,False,False
What's 8+4+3+3+4+6+1+8+9+1+2+5+8?,The sum of 8+4+3+3+4+6+1+8+9+1+2+5+8 is 62.,62,62,True,True
What's 7+1+7+9+2+9+1+2+1+10?,49,49,49,True,False
What's 7+7+6+6+10+1+4+5+10+2?,The sum of 7+7+6+6+10+1+4+5+10+2 is 58.,58,58,True,True
What's 2+7+7+5+9+10+8+7+8+8?,73,73,71,False,False
What's 9+4+4+4+2+8+7+3+9+6+8+9+1+7?,The sum of 9+4+4+4+2+8+7+3+9+6+8+9+1+7 is 81.,81,81,True,True
What's 7+10+5+9+9+2+7+4+4+4+2+2+10+2+9?,84,84,86,False,False
What's 1+4+3+4+9+1+3+1+6+7+9?,The sum of 1+4+3+4+9+1+3+1+6+7+9 is 48.,48,48,True,True
What's 8+3+5+10+7+9+3+3+4+3+6+2+7?,70,70,70,True,False
What's 7+6+3+9+8+10+10+8+4+8+9?,The sum of 7+6+3+9+8+10+10+8+4+8+9 is 82.,82,82,True,True
What's 8+7+7+3+1+7+9+5+10+3+3?,63,63,63,True,False
What's 9+10+7+7+3+6+9+10+1+1+8+9+3?,The sum of those numbers is 83.,83,83,True,True
What's 10+5+7+8+4+7+6+9+1+8+10?,75,75,75,True,False
What's 3+4+1+3+2+5+7+7+5+9?,The sum of 3+4+1+3+2+5+7+7+5+9 is 46.,46,46,True,True
What's 10+6+7+9+1+7+1+8+10+2+9+4+8?,82,82,82,True,False
What's 5+8+8+5+4+5+6+4+2+8+7+9+4+1+9?,The sum of those numbers is 90.,90,85,False,True
What's 8+2+6+4+9+4+7+9+3+10+4+3?,69,69,69,True,False
What's 9+7+8+10+4+3+5+3+9+2+7?,The sum of 9+7+8+10+4+3+5+3+9+2+7 is 67.,67,67,True,True
What's 7+10+7+6+2+2+5+5+6+3+1+6+7+2?,69,69,69,True,False
What's 4+6+9+9+1+3+10+7+4+4+7+2+2+3?,The sum of those numbers is 69.,69,71,False,True
What's 6+7+1+2+6+4+10+3+5+8+7+5+5?,70,70,69,False,False
What's 1+7+5+4+10+4+2+7+5+5+9+5?,The sum of those numbers is 64.,64,64,True,True
What's 8+6+9+9+5+3+5+6+5+8+5+9+2+7?,92,92,87,False,False
What's 4+3+8+2+10+6+9+7+9+3+7?,The sum of 4+3+8+2+10+6+9+7+9+3+7 is 68.,68,68,True,True
What's 4+3+2+4+1+9+9+10+10+7?,49,49,59,False,False
What's 5+9+3+5+1+3+4+10+1+6+3+6+1+1+4?,The sum of those numbers is 62.,62,62,True,True
What's 9+6+6+5+1+2+2+3+6+9+1?,50,50,50,True,False
What's 5+10+3+5+5+3+9+2+2+10+7?,The sum of those numbers is 61.,61,61,True,True
What's 4+4+2+8+9+9+9+9+6+6?,56,56,66,False,False
What's 7+4+7+2+1+8+1+8+8+3+7+2+6+5?,The sum of 7+4+7+2+1+8+1+8+8+3+7+2+6+5 is 69.,69,69,True,True
What's 6+7+3+1+6+5+7+5+7+1+8?,57,57,56,False,False
What's 10+10+7+8+2+7+6+8+4+4+10+4?,The sum of those numbers is 80.,80,80,True,True
What's 9+10+6+10+7+1+5+4+6+6+2+8?,74,74,74,True,False
What's 1+7+8+6+1+6+3+2+7+3+1+8+7+4?,The sum of those numbers is 64.,64,64,True,True
What's 3+1+4+5+7+7+2+7+3+1+3+7+2+8?,60,60,60,True,False
What's 9+9+2+10+3+4+10+9+2+5+1+10+10+1+1?,The sum of those numbers is 86.,86,86,True,True
What's 10+2+4+3+8+1+5+6+9+7+1+7?,63,63,63,True,False
What's 3+1+7+8+9+6+3+8+10+10+4+3+8+3?,The sum of those numbers is 83.,83,83,True,True
What's 2+1+5+2+8+6+3+1+2+7+2+9+10+8?,66,66,66,True,False
What's 1+10+6+8+9+4+8+8+4+10+10+2+4+1?,The sum of those numbers is 85.,85,85,True,True
What's 4+9+10+7+10+8+1+6+5+7+7?,74,74,74,True,False
What's 2+9+3+4+8+7+4+1+2+7?,The sum of 2+9+3+4+8+7+4+1+2+7 is 47.,47,47,True,True
What's 3+9+5+9+8+8+7+10+3+6+8+10+3?,89,89,89,True,False
What's 6+2+6+2+10+10+3+7+6+4+4+9+8+6?,The sum of all those numbers is 83.,83,83,True,True
